Run,Input Size,TIme of Execution (Average)
0,100,0.00176563262939453
1,500,0.0135128021240234
2,1000,0.0491969585418701
3,2000,0.202794647216797
4,3000,0.439003658294678
5,5000,1.23070282936096
6,8000,3.23001217842102
7,10000,5.16411690711975
